month,article_count,engagements,rolling_average
2014-03-01 00:00:00+00:00,7551,0.0,
2014-04-01 00:00:00+00:00,7745,0.0,
2014-05-01 00:00:00+00:00,8560,0.0,
2014-06-01 00:00:00+00:00,8465,0.0,
2014-07-01 00:00:00+00:00,8568,0.0,
2014-08-01 00:00:00+00:00,8828,0.0,
2014-09-01 00:00:00+00:00,9827,0.0,
2014-10-01 00:00:00+00:00,10188,0.0,
2014-11-01 00:00:00+00:00,9314,0.0,
2014-12-01 00:00:00+00:00,9550,0.0,
2015-01-01 00:00:00+00:00,9850,0.0,
2015-02-01 00:00:00+00:00,8861,0.0,8942.25
2015-03-01 00:00:00+00:00,9844,0.0,9133.333333333334
2015-04-01 00:00:00+00:00,9557,0.0,9284.333333333334
2015-05-01 00:00:00+00:00,8869,0.0,9310.083333333334
2015-06-01 00:00:00+00:00,9150,0.0,9367.166666666666
2015-07-01 00:00:00+00:00,9601,0.0,9453.25
2015-08-01 00:00:00+00:00,8930,0.0,9461.75
2015-09-01 00:00:00+00:00,11173,0.0,9573.916666666666
2015-10-01 00:00:00+00:00,13572,0.0,9855.916666666666
2015-11-01 00:00:00+00:00,12935,0.0,10157.666666666666
2015-12-01 00:00:00+00:00,11388,0.0,10310.833333333334
2016-01-01 00:00:00+00:00,11624,15143601.0,10458.666666666666
2016-02-01 00:00:00+00:00,12045,14553070.0,10724.0
2016-03-01 00:00:00+00:00,12770,13633478.0,10967.833333333334
2016-04-01 00:00:00+00:00,11860,10421783.0,11159.75
2016-05-01 00:00:00+00:00,11978,10736672.0,11418.833333333334
2016-06-01 00:00:00+00:00,12322,13420593.0,11683.166666666666
2016-07-01 00:00:00+00:00,11909,13617625.0,11875.5
2016-08-01 00:00:00+00:00,11627,17136038.0,12100.25
2016-09-01 00:00:00+00:00,12012,17338694.0,12170.166666666666
2016-10-01 00:00:00+00:00,11961,19095653.0,12035.916666666666
2016-11-01 00:00:00+00:00,11301,24294832.0,11899.75
2016-12-01 00:00:00+00:00,10341,19620182.0,11812.5
2017-01-01 00:00:00+00:00,11383,26443042.0,11792.416666666666
2017-02-01 00:00:00+00:00,10410,26024430.0,11656.166666666666
2017-03-01 00:00:00+00:00,9215,18043523.0,11359.916666666666
2017-04-01 00:00:00+00:00,10377,15257569.0,11236.333333333334
2017-05-01 00:00:00+00:00,11398,19346269.0,11188.0
2017-06-01 00:00:00+00:00,11169,20049940.0,11091.916666666666
2017-07-01 00:00:00+00:00,9865,19489815.0,10921.583333333334
2017-08-01 00:00:00+00:00,10523,20338525.0,10829.583333333334
2017-09-01 00:00:00+00:00,10440,17856862.0,10698.583333333334
2017-10-01 00:00:00+00:00,10656,17463822.0,10589.833333333334
2017-11-01 00:00:00+00:00,10121,14610107.0,10491.5
2017-12-01 00:00:00+00:00,8780,13705565.0,10361.416666666666
2018-01-01 00:00:00+00:00,10595,18678040.0,10295.75
2018-02-01 00:00:00+00:00,9719,17550405.0,10238.166666666666
2018-03-01 00:00:00+00:00,10367,20320901.0,10334.166666666666
2018-04-01 00:00:00+00:00,10529,15989618.0,10346.833333333334
2018-05-01 00:00:00+00:00,11121,14025267.0,10323.75
2018-06-01 00:00:00+00:00,11885,19633790.0,10383.416666666666
